time,128,130,27,210,217,223,reflection,other
1,67,0,0,1,0,0,0,13
2,84,1,0,0,0,0,0,9
3,47,0,0,0,0,0,1,3
4,90,22,0,0,0,0,0,8
5,87,2,0,0,0,0,1,12
6,111,0,0,0,0,0,0,9
7,94,1,1,0,0,0,0,13
8,96,1,0,0,0,0,0,13
9,74,1,0,0,0,0,0,21
10,80,1,0,0,0,0,0,14
11,62,1,19,0,0,0,1,10
12,47,0,65,1,0,0,0,10
13,58,0,31,3,1,0,0,16
14,11,0,5,101,0,0,0,2
15,31,0,5,75,2,0,0,10
16,25,1,11,33,2,0,0,21
17,16,0,3,16,0,0,0,3
18,38,0,12,18,0,0,0,12
19,43,0,10,19,1,0,2,27
20,42,1,29,13,3,0,1,15
21,11,0,5,6,84,0,0,9
22,22,0,6,12,58,0,0,17
23,19,0,6,8,56,0,0,20
24,30,0,8,8,53,0,0,13
25,26,1,8,11,48,0,0,16
26,42,1,9,8,41,0,0,19
27,57,1,7,13,28,254,17,81
28,28,0,7,3,18,16,21,15
29,28,0,8,12,21,3,1,17
30,34,1,7,4,15,3,1,6
31,34,0,5,5,12,1,2,11
32,24,0,4,8,4,1,0,8
